Overview -- Institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reporting Period,January 2025 - February 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution,KANSAS STATE UNIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol,KKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,Jan-25,Dec-24,Nov-24,Oct-24,Sep-24,Aug-24,Jul-24,Jun-24,May-24,Apr-24,Mar-24,Feb-24,Jan-24,Dec-23,Nov-23,Oct-23,Sep-23,Aug-23,Jul-23,Jun-23,May-23,Apr-23,Mar-23,Feb-23,Jan-23,Dec-22,Nov-22,Oct-22,Sep-22,Aug-22,Jul-22,Jun-22,May-22,Apr-22,Mar-22,Feb-22
Authorizations,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sessions,109,61,65,91,90,149,50,90,72,73,70,217,124,84,81,82,132,132,51,74,68,113,89,111,118,90,97,104,128,57,64,68,43,79,106,112
Session Turnaways,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
% Session Turnaways,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Citation Searches,292,183,180,254,226,411,108,277,216,287,177,530,348,156,256,201,364,379,142,233,200,328,253,339,296,244,355,304,417,144,200,375,99,274,789,329
  Block Citation Searches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Subscription Citation Searches,292,183,180,254,226,411,108,277,216,287,177,530,348,156,256,201,364,379,142,233,200,328,253,339,296,244,355,304,417,144,200,375,99,274,789,329
Total Block Searches Used (Block Citation Searches + (Block Documents Viewed * 5)),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Documents Viewed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Subscription Documents Viewed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Monthly Documents Viewed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Block Documents Viewed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Port Limit  ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited    ,Unlimited  
Avg Ports,2.42,1.51,1.46,2.4,2.49,4.02,2.12,2.26,2.31,2.93,2.29,6,2.71,2.56,1.94,2.09,2.67,5.42,2.18,2.28,1.66,1.29,1.28,1.68,1.45,1.46,1.59,1.36,2.4,1.37,1.47,1.81,2.12,2.22,2.54,2.32
Max Ports,5,3,4,6,5,17,3,5,6,12,4,36,8,8,4,9,10,30,4,5,4,4,3,7,4,4,7,5,14,4,4,3,3,4,5,6
